Job ID,Title,Company,Date Posted,Company Industry,Job Role,Degree,Job City,Max Age,Monthly Salary Max Range
4177110,OPERATIONS OFFICER,NBP,4/15/2020,Banking,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4177085,Branch Administration Manager,Kinetic Business Solutions,4/15/2020,Medical Clinic,Administration,0,Riyadh,0,0
4174537,Admin Assistant,Analytical Department,4/15/2020,Oil & Gas,Administration,0,Jubail,0,0
4177016,›‰Ì¯ „⁄·Ê„«  Ê„ÿÊ— »—«„Ã,Corporate Management Office,4/15/2020,Facilities & Property Management,Administration,0,0,40,0
4177035,Admin Assistant,0,4/15/2020,Oil & Gas,Administration,0,Jubail,0,0
4177019,Document Controller,0,4/15/2020,Oil & Gas,Administration,0,Jubail,0,0
4176692,Airfield Operations Specialist,0,4/14/2020,Aviation Support Services,Administration,High school or equivalent,Riyadh,55,0
4175775,”«∆ﬁ Ê„‰œÊ»,Fakieh Group,4/8/2020,Animal Production,Administration,0,Western Province,40,1500
4175350,Company Available positions,Delicious Food Company,4/6/2020,Catering Food Service & Restaurant,Administration,0,Riyadh,0,0
3908800,HR Officer,Rentokil 0,4/5/2020,Facilities & Property Management,Administration,Bachelor's degree / higher diploma,Riyadh,45,0
4175254,Documents Controller & Reports,0,4/5/2020,Administration Support Services,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4175160,Documents Controller & Reports,0,4/4/2020,Administration Support Services,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4175139,Delivery Driver,0,4/4/2020,FMCG,Administration,High school or equivalent,Buraidah,38,500
4175106,Administrative Assistant,0,4/3/2020,Telecommunications,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4174471,„‘—› „” Êœ⁄,Al-Selay,3/31/2020,Trading & Commodity Trading; Perfume & Cosmetics; Consumer Electronics,Administration,Bachelor's degree / higher diploma,Riyadh,0,3000
4174099,—∆Ì” ﬁ”„  ÊŸÌ› «·„‘«—Ì⁄,Saudi Services Company Ltd. ,3/27/2020,Corporate Management Office,Administration,Bachelor's degree / higher diploma,0,40,0
4174022,Operations Specialist - fresh graduates (Saudi nationals),Morgan International Lebanon SAL,3/26/2020,Training & Education Center,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4173928,Executive Admin Assistant,0,3/25/2020,Airlines,Administration,Bachelor's degree / higher diploma,0,0,0
4173640,„Õ«”» ⁄«„,0,3/24/2020,Real Estate,Administration,Bachelor's degree / higher diploma,Jizan,40,0
4173466,Admin Supervisor,M. M. Al Harbi & Partner Co. Ltd  ,3/23/2020,Construction & Building,Administration,Bachelor's degree / higher diploma,Dammam,0,0
4173305,Shared Services Director,UWFC,3/23/2020,Heavy Industry & Metallurgy; Hardware & Building Materials,Administration,Bachelor's degree / higher diploma,Riyadh,45,0
4173423,Admnistrative Assistant,0,3/23/2020,Military & Defense,Administration,Bachelor's degree / higher diploma,Riyadh,40,0
4165809,Government Relations Coordinator,Alkifah Contracting,3/22/2020,Other Business Support Services,Administration,High school or equivalent,0,0,0
4173106,Assistant General Manager,Sadeem AlJood,3/22/2020,Venture Capital & Private Equity,Administration,Bachelor's degree / higher diploma,0,35,0
4173103,Personal Assistant To CEO,0,3/22/2020,Construction & Building; FMCG,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4172324,„‰œÊ»  Ê’Ì·,„ƒ””… ”—⁄… «·Ê’Ê·,3/19/2020,Business Support Services,Administration,0,0,36,1000
4172769,Executive Secretary,0,3/19/2020,Safety & Environment,Administration,0,Khobar,0,0
4172830,Camp Admin,Katerra Technologies LLP,3/19/2020,Real Estate,Administration,0,Riyadh,0,0
4172067,Maintenance technician,0,3/18/2020,Sporting Goods,Administration,0,Riyadh,0,0
4171085,Social Media Marketing Specialist,Yasmin Interiors,3/17/2020,Marketing,Administration,Bachelor's degree / higher diploma,Riyadh,50,0
4144932,hr administrator,0,3/17/2020,Oil & Gas,Administration,Bachelor's degree / higher diploma,Khobar,29,0
4166587,COOP Training for HR students - 0,Shahini Group,3/16/2020,Distribution & Logistics,Administration,Bachelor's degree / higher diploma,0,0,0
1848300,HR,0,3/15/2020,Wholesale & Import/Export Trade,Administration,Bachelor's degree / higher diploma,0,38,0
1732799,Shop Auditor,0,3/15/2020,Wholesale & Import/Export Trade,Administration,Certification / diploma,0,35,2000
4147239,Vendor Portal Administrator (Saudi National Only),Yusuf Bin Ahmed Kanoo Group Of Companies - 0,3/15/2020,Oil & Gas,Administration,0,Dammam,40,0
4169477,„‰œÊ» ⁄·«ﬁ«  ÕﬂÊ„Ì…,0,3/15/2020,FMCG,Administration,Bachelor's degree / higher diploma,Riyadh,35,0
4135194,Document Controller,0,3/15/2020,Oil & Gas,Administration,Bachelor's degree / higher diploma,0,0,0
4169422,„‘—›… „ÿ⁄„,0,3/15/2020,Catering Food Service & Restaurant,Administration,0,Riyadh,35,2000
4167554,Industrial Painter,0,3/12/2020,Technical Maintenance & Repair,Administration,High school or equivalent,Dammam,0,0
4166890,HR Payroll Officer,0,3/11/2020,General Engineering Consultancy,Administration,Bachelor's degree / higher diploma,Riyadh,28,1500
4162872,Admin Assistant,Coffee Tools EST,3/7/2020,Trading & Commodity Trading,Administration,Bachelor's degree / higher diploma,Riyadh,38,1000
4162870,Coffee Machine And Beverage Equipment Technician,Coffee Tools EST,3/7/2020,Household Appliances,Administration,Bachelor's degree / higher diploma,Riyadh,35,1000
4163714,Secretary,IKK Group Careers,3/11/2020,Other Business Support Services,Administration,Certification / diploma,0,0,0
4158698,„Õ«”» ⁄«„,‘—ﬂ… √Ì«‰ «·⁄—»Ì…,3/10/2020,Hospitality & Accomodation,Administration,0,Riyadh,0,0
4165690,IKTVA Executive/ IKTVA Officer/ IKTVA Specialist/ IKTVA Administrator/ IKTVA Project Champion,Sapura Energy,3/10/2020,Oil & Gas,Administration,0,Khobar,0,0
4165674,„œÌ— ›‰œﬁ,Alhyatt 0 Continental Hotel ,3/10/2020,Hospitality & Accomodation,Administration,Bachelor's degree / higher diploma,0,50,3000
4165624,Admin /HR Assistant,Sapura Energy,3/10/2020,Oil & Gas,Administration,0,Khobar,0,0
4165514,Data Entry Operator,SEDER GROUP,3/10/2020,Other Business Support Services,Administration,High school or equivalent,Riyadh,35,0
4163729,Office Manager,Rawaj Co. for Recruitment,3/8/2020,Real Estate,Administration,Bachelor's degree / higher diploma,Riyadh,40,0
4163710,„Œ·’… Ã„—ﬂÌ…,0,3/8/2020,Wholesale & Import/Export Trade,Administration,0,0,0,0
4163208,Admin Assistant,Source2Hire,3/8/2020,Other Business Support Services,Administration,Bachelor's degree / higher diploma,0,0,0
4162464,Internal Auditor Administrative,0,3/7/2020,Manufacturing,Administration,Bachelor's degree / higher diploma,Yanbu,0,0
4160608,≈œ«—Ï „Êﬁ⁄,Alfanar Company,3/5/2020,Construction & Building,Administration,Bachelor's degree / higher diploma,Dammam,34,0
4159215,„œÌ—  ‘€Ì·,Ktaykit Fast Food ,3/4/2020,Catering Food Service & Restaurant,Administration,0,0,0,0
4159118,Data Entry,Source2Hire,3/4/2020,Other Business Support Services,Administration,Bachelor's degree / higher diploma,0,0,0
4158707,Document Controller,Zamil Offshore Services Company,3/3/2020,Oil & Gas,Administration,Bachelor's degree / higher diploma,0,50,0
4157848,„”∆Ê· «’Ê· ‘—ﬂÂ ‰ﬁ· ÀﬁÌ·,LEHA group ,3/2/2020,Motor Vehicle Passenger Transport,Administration,0,Riyadh,50,0
4157556,HR Specialist,0,3/2/2020,Corporate Management Office,Administration,Bachelor's degree / higher diploma,Khobar,0,0
4156852,Event Planner,ManpowerGroup Middle East,3/1/2020,Recruitment & Employee Placement Agency,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4155203,Real Estate Development Expert,Parsons - United Arab Emirates,2/27/2020,General Engineering Consultancy,Administration,0,Yanbu,0,0
4153388,appointment coordinator,Ahmed Abdullah Al Essa,2/25/2020,Wholesale & Import/Export Trade,Administration,0,Riyadh,0,0
4155153,Contract Administrator,Parsons - United Arab Emirates,2/27/2020,General Engineering Consultancy,Administration,0,Yanbu,0,0
4154774,Contracts Manager,Parsons - United Arab Emirates,2/27/2020,Construction & Building,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4143700,Coordinator-Admin,Le Meridien Al0,2/27/2020,Hospitality & Accomodation,Administration,Bachelor's degree / higher diploma,Khobar,0,0
4144147,secretary,Le Meridien Al0,2/27/2020,Hospitality & Accomodation,Administration,Bachelor's degree / higher diploma,Khobar,0,0
4146603,Asst Chief Engineer,Le Meridien Al0,2/27/2020,Hospitality & Accomodation,Administration,0,Khobar,0,0
4148788,AsstMgr-Banquets,Le Meridien Al0,2/27/2020,Hospitality & Accomodation,Administration,Bachelor's degree / higher diploma,Khobar,0,0
4154696,Executive Assistant,Tetra Pak ,2/27/2020,Administration Support Services,Administration,Bachelor's degree / higher diploma,NaN,0,0
4154666,Construction Technical Writer,Parsons - United Arab Emirates,2/27/2020,General Engineering Consultancy,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4154456,Executive Assistant To Chairman,0,2/26/2020,Corporate Management Office,Administration,Bachelor's degree / higher diploma,Khobar,0,0
4152797,Retail Coordinator,Tiffany & Co,2/24/2020,Jewelry & Gold,Administration,0,Riyadh,0,15000
4152780,Document Controller,MOBCO Group,2/24/2020,Construction & Building,Administration,0,Riyadh,0,0
4152702,Office Assistant,Mena Business Investment Group,2/24/2020,Civil Engineering,Administration,Certification / diploma,Riyadh,0,1500
4152662,Documents Controller,Arail Construction & Industrial Co. Ltd.,2/24/2020,Civil Engineering,Administration,0,Riyadh,0,0
4151013,”ﬂ— Ì—/…  «·„œÌ— «·⁄«„,Al Ma'athar,2/19/2020,Architecture,Administration,Certification / diploma,Riyadh,0,0
4116678,"Administration  Manager ""Saudi Only""",Alkifah Contracting,2/19/2020,Construction & Building,Administration,Bachelor's degree / higher diploma,NaN,0,0
4150687,„‘—› «œ«—Ì,0,2/18/2020,FMCG,Administration,Bachelor's degree / higher diploma,Buraidah,39,0
4150533,„”ƒÊ· ⁄·«ﬁ«  ÕﬂÊ„Ì…,Jazeera Paints Co,2/17/2020,Manufacturing,Administration,0,Riyadh,35,0
4150400,Senior - Economic Advisory,EY - United Arab Emirates,2/17/2020,Accounting,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
4150370,Entertainment Booking Coordinator,ManpowerGroup Middle East,2/17/2020,Events Management,Administration,0,Riyadh,0,0
3896105,Shift Supervisor I (Utilities & Oil Movement Complex / Tank Farm),0Aramco Sinopec Refining - YASREF,12/30/2019,Oil & Gas,Administration,Certification / diploma,Yanbu,0,0
4099025,Project Management Office Specialist,PSDSARC,10/20/2019,--,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
3844731,Administrative Specialist,0,10/18/2019,Other Business Support Services,Administration,Bachelor's degree / higher diploma,Riyadh,0,3000
3743801,„ÊŸ› Œœ„… ⁄„·«¡,0,11/15/2019,Human Resources Outsourcing,Administration,High school or equivalent,Riyadh,0,0
55074007,Legal Specialist- E1 Cluster,King Fahad Specialist Hospital,4/15/2020,Other Healthcare Services,Administration,0,Dammam,0,0
55051969,Clinical Revenue Specialist (E1- CLuster ),King Fahad Specialist Hospital,4/13/2020,Other Healthcare Services,Administration,0,Dammam,0,0
55051970,Business Investment Specialist (E1-Cluster),King Fahad Specialist Hospital,4/13/2020,Other Healthcare Services,Administration,0,Dammam,0,0
54879940,Media Planner,Aramco Services Company,3/28/2020,Oil & Gas,Administration,0,NaN,0,0
54731610,Clinical Admin (Makkah - ŸÖŸÉÿ©),Diaverum,3/20/2020,Medical Clinic,Administration,Bachelor's degree / higher diploma,Mecca,0,0
54670232,SUPPLIES PLANNER I,King Faisal Specialist Hospital & Research Centre,3/17/2020,Other Business Support Services,Administration,0,NaN,0,0
54670887,PHARMACEUTICAL PLANNER I,King Faisal Specialist Hospital & Research Centre,3/17/2020,Other Business Support Services,Administration,0,NaN,0,0
54674754,Medical Secretary,King Fahad Specialist Hospital,3/17/2020,Other Healthcare Services,Administration,0,Dammam,0,0
54630797,Maintenance Planner,Brunel,3/15/2020,Other Business Support Services,Administration,0,NaN,0,0
54592923,Receptionist Male,Namma Cargo,3/12/2020,Other Business Support Services,Administration,0,Khobar,0,0
54570027,COOP Training for Industrial Engineering & Supply Chain students - 0,Shahini Group,3/11/2020,Distribution & Logistics,Administration,Bachelor's degree / higher diploma,0,0,0
54524153,ADMISSION PLANNER,King Faisal Specialist Hospital & Research Centre,3/9/2020,Other Business Support Services,Administration,0,NaN,0,0
54419737,Executive Secretary - Saudi National,Centro Salama,3/4/2020,Hospitality & Accomodation,Administration,0,0,0,0
54384973,Clinical Admin (Khamees Mushait - ÿÆŸÖŸäÿ≥ ŸÖÿ¥Ÿäÿ∑),Diaverum,3/2/2020,Medical Clinic,Administration,Bachelor's degree / higher diploma,Khamis Mushait,0,0
54122458,Senior HR Executive,Alshaya Enterprises,2/19/2020,Heavy Industry & Metallurgy,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
53877410,Planner,Contact Centers Company (CCC),2/11/2020,Management Consulting,Administration,0,NaN,0,0
53865200,Document Controller 2,AECOM,2/7/2020,Other Business Support Services,Administration,0,Riyadh,0,0
53848845,Admin Specialist,Modern Bus Company Ltd,2/4/2020,Motor Vehicle Passenger Transport,Administration,0,Mecca,0,0
53792776,Receiving Clerk (SAUDI ONLY),Marriott International Inc & Ritz Carlton Hotel Company L.L.C.,1/21/2020,Other Business Support Services,Administration,0,Riyadh,0,0
53635919,Strategic Planning Specialist,PSDSARC,1/4/2020,--,Administration,Bachelor's degree / higher diploma,Riyadh,0,0
53602803,planner,AECOM,1/1/2020,Construction & Building,Administration,0,Riyadh,0,0
